ID,S_Value,Visibility,Phase_Jitter,BitFlip,Noise
302,2.828427123,0.985878168,9.852428241,0.005764943,0.002860581
303,2.828427123,0.993227822,2.067799621,0.002041982,0.042674356
304,2.828427123,0.949408606,2.289556949,0.004576034,0.048088246
305,2.828427123,0.988685815,0.523740191,0.003786218,0.013195907
306,2.828427123,0.982761915,2.415285416,0.005312249,0.003839302
307,2.828427123,0.790315757,23.64380786,0.005456403,0.020740985
308,2.828427123,0.920150183,13.15115864,0.003422648,0.040260293
309,2.828427123,0.998515754,7.276630729,0.002791171,0.000499673
310,2.828427123,0.992551698,2.110532588,0.002027423,0.041682155
311,2.828427123,0.991732329,7.521985683,0.008673122,0.02395296
312,2.828427123,0.973985478,2.631225647,0,0.017032212
313,2.828427123,0.994235833,1.963664213,0.006763257,0.027946838
314,2.828427123,0.981107518,0.086290804,0.000666969,0.026426703
315,2.828427123,0.914033632,13.96548045,0.004803156,0.030587117
316,2.828427123,0.966660472,2.570064473,0.00034863,0.038632654
317,2.828427123,0.789101747,24.33853435,5.56854965492164e-05,0.008206503
318,2.828427123,0.932875064,4.978371543,0.001212717,0.034951881
319,2.828427123,0.966892721,3.946117724,0.005502184,0.031027999
320,2.828427123,0.989873663,9.154661079,0.008488293,0.005257692
321,2.828427123,0.99910915,0.90188031,0.003258212,0.042591785
322,2.828427123,0.993957338,2.798394719,0.004472586,0.042428667
323,2.828427123,0.995673985,0.252826009,0.002013761,0.002600566
324,2.828427123,0.990077746,0.628014137,0.004965026,0.031212722
325,2.828427123,0.981559955,2.784162792,0.003955198,0.017782888
326,2.828427123,0.943823669,4.164847144,0.006424858,0.014610108
327,2.828427123,0.96535767,2.189313727,0.00396065,0.049272616
328,2.828427123,0.988892122,8.573943938,0.010925804,0.040553358
329,2.828427123,0.981269888,11.01195582,0.026119131,0.020416287
330,2.828427123,0.955546831,5.250521406,0.001561256,0.037611839
331,2.828427123,0.998502727,0.742663262,0.00319469,0.014308372
332,2.828427123,1,6.056450054,0.008895783,0.1
333,2.828427123,0.977674219,8.053519501,0.012111167,0.1
334,2.828427123,0.97916149,1.995396389,0.001385841,0.018749487
335,2.828427123,1,3.322674442,0.002382743,0.002047962
336,2.828427123,0.995007096,0.076851785,8.7167879341781e-05,0.01408414
337,2.828427123,0.966722538,3.645623732,0.019821058,0.043772719
338,2.828427123,0.987960361,2.715369706,0.000209914,0.003595024
339,2.828427123,0.998766385,0.025052919,0.002721147,0.035937114
340,2.828427123,0.997975255,0.062873364,0.000963718,0.036242504
341,2.828427123,0.995622613,3.569743552,0.009767709,0.035694938
342,2.828427123,0.888533029,9.673208632,0.016301647,0.026631949
343,2.828427123,0.970035795,0.33007723,0.000903911,0.044154205
344,2.828427123,0.999864098,2.6232076,0.004046369,0.024829708
345,2.828427123,0.974859577,8.404523955,0.011725731,0.000771546
346,2.828427123,0.977430377,0.102610864,0.001472857,0.033141052
347,2.828427123,0.986786242,2.584756513,0.002371177,0.014269261
348,2.828427123,0.998793195,1.913209413,0.001137192,0.032051196
349,2.828427123,0.998831321,0.479540596,0.000531867,0.01380907
350,2.828427123,0.907648623,10.25093758,0.011353871,0.036359074
351,2.828427123,0.998073631,1.818843974,0.002104136,0.032420798
352,2.828427123,0.999551048,0.388966505,0.001598887,0.044893583
353,2.828427123,0.983090044,0.327246963,0.00054731,0.021214979
354,2.828427123,0.999193178,0.284580905,0.000753598,0.012733325
355,2.828427123,0.998303077,0.471482024,0.013276983,0.1
356,2.828427123,0.988511001,1.001262597,0.004665499,0.028576134
357,2.828427123,1,0.752034724,0.001125476,0.01426911
358,2.828427123,0.988412858,7.284135893,0.036756917,0.045294067
359,2.828427123,0.991031646,0.590263906,0.002661729,0.022916444
360,2.828427123,0.990675328,0,0.002341513,0.036136267
361,2.828427123,0.981539413,10.38445531,0.008905566,0.1
362,2.828427123,0.995357692,1.775810254,0.000141892,0.041748072
363,2.828427123,0.92735063,5.786423724,0.000552429,0.035314842
364,2.828427123,0.9362153,10.41730461,0.01387044,0.011353453
365,2.828427123,0.987796137,0.528942597,0.00117753,0.040563249
366,2.828427123,0.922578469,7.155350217,0.000441944,0.009638218
367,2.828427123,0.911833235,21.00821104,0.021017381,0.030830936
368,2.828427123,1,0.286753551,0.00157323,0.035995613
369,2.828427123,0.999875692,0.755526566,0.002918678,0.022133212
370,2.828427123,0.948541476,4.851624549,0.005454052,0.044551471
371,2.828427123,0.96577937,0.705615937,0.004434297,0.045929
372,2.828427123,0.998779173,1.635187569,0.003415555,0.009831904
373,2.828427123,0.993683507,0.263439087,0.000833251,0.034339912
374,2.828427123,0.989276511,5.277342756,0.00037714,0.005465607
375,2.828427123,0.998670229,1.174985428,0.017040396,0.05138488
376,2.828427123,0.865549482,27.64892304,0.017649642,0.045203724
377,2.828427123,0.994240689,2.388009924,0.007771093,0.036594191
378,2.828427123,0.98273535,2.774798771,0.006551275,0.029451003
379,2.828427123,0.898767391,15.4219514,0.002278443,0.009336978
380,2.828427123,0.987848337,6.704060434,0.005883713,0.020759642
381,2.828427123,0.999712418,0.389222537,0.00162927,0.020779052
382,2.828427123,1,0.429345754,0.002235563,0.012807622
383,2.828427123,0.914843865,5.100431109,0.003107742,0.025560492
384,2.828427123,0.966223315,1.216210434,0.004009398,0.038148535
385,2.828427123,0.922155041,4.384758481,0.003844263,0.041794612
386,2.828427123,0.998514236,1.663226726,0.000441238,0.041084968
387,2.828427123,0.977492687,4.070358441,0.008758701,0.02847536
388,2.828427123,0.994582206,2.154461358,0.001960075,0.04276592
389,2.828427123,0.996250966,0.931640661,0.000777436,0.007214228
390,2.828427123,0.998792562,1.65945658,0.006514163,0.017948159
391,2.828427123,0.988031104,4.663258385,6.7922725385753e-05,0.001614642
392,2.828427123,0.99911475,0.871740272,0.000815073,0.030272946
393,2.828427123,0.998128199,7.872146796,0.034073021,0.045839877
394,2.828427123,0.999671117,3.85280792,0.005105604,0.029182228
395,2.828427123,0.968318738,5.989049134,0.033932304,0.04621822
396,2.828427123,0.998953962,21.17893247,0.04458999,0.042799141
397,2.828427123,0.999242421,15.09908485,0.039586237,0.000273696
398,2.828427123,0.90598412,17.40394139,0.020478273,0.005587435
399,2.828427123,0.998977445,0.063050695,0.001093051,0.015690438
400,2.828427123,0.918436024,3.965557932,0.001564065,0.012659546
401,2.828427123,0.897312052,21.92483216,0.015280979,0.001129429
402,2.828427123,0.999277227,0.213863733,0.003481189,0.014264834
403,2.828427123,0.99540865,0.714420746,0.003179349,0.003284712
404,2.828427123,0.983826972,1.544433891,0.003460408,0.002272559
405,2.828427123,0.993091864,0,0.000590768,0.01479612
406,2.828427123,0.984853162,10.5089577,0.021526911,0.00815729
407,2.828427123,0.982637776,5.699979026,0.005517053,0.037565225
408,2.828427123,0.947365574,1.040276125,0.000637178,0.038173202
409,2.828427123,0.981977206,21.72743171,0.017195422,0.031128036
410,2.828427123,0.986918385,3.458725197,0.005683094,0.1
411,2.828427123,0.998376535,1.776918269,0.001979159,0.03260733
412,2.828427123,0.970656314,2.160812987,0,0.039675221
413,2.828427123,0.999396435,0.336828066,0.000995683,0.017171162
414,2.828427123,0.987580676,2.192177691,0.003038198,0.023105826
415,2.828427123,0.955360181,5.207546965,0.003880968,0.017558874
416,2.828427123,0.951460861,11.4894913,0.013824256,0.0381342
417,2.828427123,0.999691532,0.104330644,0.001775679,0.01820095
418,2.828427123,0.973301778,0.538380228,0.004729291,0.1
419,2.828427123,0.99564682,2.754319189,0.011913612,0.048253289
420,2.828427123,0.977783187,8.36980404,0.023637444,0.1
421,2.828427123,0.966739716,24.25936464,0.027469559,0.029443174
422,2.828427123,0.97995303,26.80928191,0.041959972,0.036607901
423,2.828427123,0.999819151,0.087341056,0.000263651,0.014644777
424,2.828427123,0.997614805,1.389239981,0.002360921,0.025182021
425,2.828427123,0.943183714,13.65996552,0.006647725,0.026832366
426,2.828427123,0.904921968,8.676480546,0.000604678,0.1
427,2.828427123,0.982498491,0.333192829,0.000723245,0.021762996
428,2.828427123,0.860417291,5.30349531,0.002477407,0.037203756
429,2.828427123,0.996517468,7.46387437,0.011009929,0.016020677
430,2.828427123,0.998816545,0.98761445,0.003592893,0.015263157
